partnerid,stream,deploy_date
58,4,8/19/15
59,1,10/11/15
59,2,10/11/15
59,3,10/11/15
59,4,10/11/15
131,1,6/18/15
131,2,6/18/15
131,3,6/18/15
131,4,6/18/15
132,1,9/14/15
132,2,9/14/15
132,3,9/14/15
132,4,9/14/15
133,1,10/17/15
133,2,10/17/15
133,3,10/17/15
133,4,10/17/15
61,1,10/14/15
61,2,10/14/15
61,3,10/14/15
61,4,10/14/15
96,1,7/28/15
96,2,7/29/15
96,3,7/29/15
96,4,7/29/15
62,1,12/31/15
62,2,12/31/15
62,3,12/31/15
62,4,12/31/15
63,1,9/23/15
63,2,9/23/15
64,1,1/15/16
64,2,1/15/16
64,3,1/15/81
64,4,1/15/16
65,1,10/4/15
65,2,10/6/15
65,3,10/7/15
65,4,10/8/15
66,1,9/26/15
66,2,9/26/15
66,3,9/26/15
66,4,9/26/15
67,1,
67,2,
67,3,
67,4,
68,1,4/16/15
68,2,4/16/15
68,3,4/16/15
68,4,4/16/15
69,1,9/30/15
69,2,9/30/15
69,3,9/30/15
69,4,9/30/15
70,1,10/2/15
70,2,10/2/15
70,3,10/2/15
70,4,10/2/15
71,1,8/12/15
71,2,8/12/15
71,3,8/13/15
71,4,8/13/15
134,1,10/27/15
134,2,10/27/15
134,3,10/27/15
134,4,10/27/15
72,1,10/12/15
72,2,10/12/15
72,3,10/12/15
72,4,10/12/15
73,1,11/3/15
73,2,11/3/15
73,3,11/3/15
73,4,11/3/15
135,1,10/6/15
135,2,10/6/15
135,3,10/6/15
135,4,10/6/15
74,1,8/28/15
74,2,8/29/15
74,3,8/28/15
74,4,8/29/15
75,1,11/6/15
75,2,11/6/15
75,3,11/6/15
75,4,11/6/15
97,1,8/13/16
97,2,8/13/16
97,3,8/13/16
97,4,8/13/16
98,1,6/11/15
98,2,6/11/15
98,3,6/11/15
98,4,6/11/15
77,1,11/6/15
77,2,11/6/15
77,3,11/6/15
77,4,11/6/15
78,1,12/5/15
78,2,12/5/15
78,3,12/5/15
78,4,12/5/15
99,1,10/11/15
99,2,10/11/15
99,3,10/11/15
99,4,10/11/15
79,1,10/10/15
79,2,10/10/15
79,3,10/10/15
79,4,10/10/15
80,1,11/16/15
80,2,11/16/15
80,3,11/16/15
80,4,11/16/15
81,1,12/6/15
81,2,12/6/15
81,3,12/6/15
81,4,12/6/15
