No,Citiation,lat,lon,sitecode,logk,stage,Method,climate zone,Ecosystem,Vegetation,Litter.type,Aspect,Elevation,Slope,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,Bulk density,Clay,pH,SOC,N,CEC,EVI,LAI,NPP,SFP,SBD,Initial.C,Initial.N,Initial.C.N
39,Maclean.1978,47.03333333,-65.76666667,10,-0.124724537,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,18.41,NA
40,Maclean.1978,47.03333333,-65.76666667,10,-0.198047765,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,18.41,NA
41,Maclean.1978,47.03333333,-65.76666667,10,-0.444699945,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,21.31,NA
42,Maclean.1978,47.03333333,-65.76666667,10,-1.182963774,early,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,2.88,NA
43,Maclean.1978,47.03333333,-65.76666667,10,-1.04493793,early,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,1.97,NA
44,Maclean.1978,47.03333333,-65.76666667,10,-0.841125102,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,2.39,NA
45,Maclean.1978,47.03333333,-65.76666667,10,-1.021910827,early,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,2.75,NA
46,Maclean.1978,47.03333333,-65.76666667,10,-1.299988938,early,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,2.75,NA
47,Maclean.1978,47.03333333,-65.76666667,10,-0.792473345,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Branch,South,3,1.384954095,4.95,9.2,0.23499999,1007.8,23.95,-15.15,39.1,7.05,-2.65,17.55,-8.45,1146.4,114.7,66.8,13.8,300.2695923,228.2,305.2,255.3,1.1,15.2,4.4,71.8,5.534,448,3876.165527,21.30669594,6921.899902,21.24812007,0.598547757,NA,6.27,NA
48,Strojan.1978,40.8063862,-75.6215012,11,-0.566694301,mid,Litter bag,Continental/microthermal climates,Forest,Broadleaved,Leaf,West,325,2.957270861,10.85,9.5,0.272000003,895.2,28.35,-6.45,34.8,20.15,0.35,22.35,-0.85,1328.4,134.8,82.8,13.8,335.8544006,266.3,375.2,277.9,1.28,19,5.6,140.5,9.575,347,3533.140625,15.53774834,6827.209961,18.82320046,0.640609503,NA,NA,NA
