"","Genus","N_Litter_Mn","P_Litter_Mn","C_Litter_Mn","Lignin_Litter_Mn","Cellulose_Litter_Mn","CtoN_Litter_Mn","NtoP_Litter_Mn","X","N_Leaf_Mn","N_Leaf_Med","P_Leaf_Mn","P_Leaf_Med","NtoP_Leaf_Mn","NtoP_Leaf_Med","Thick_Mn","Thick_Med","C_Leaf_Mn","C_Leaf_Med","CtoN_Leaf_Mn","CtoN_Leaf_Med","Ca_Leaf_Mn","Ca_Leaf_Med"
"64","Fraxinus",1.26076923076923,0.11375,41.3166666666667,13.6666666666667,26.9,63.1,24.7222222222222,27,2.289985893,2.237572392,0.192550383,0.185953395,15.16278391,15.43807193,0.185681086,0.182647051,45.86491624,46.02964457,29.91223166,29.42439096,1.95875,1.95875
"65","Freycinetia",1.79,0.08,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Gigantochloa",0.75,0.01,NA,NA,NA,NA,166.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Guarea",3.84,0.02,NA,NA,NA,NA,425.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Guettarda",1.23,0.04,NA,NA,NA,NA,68.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Hamamelis",0.37,0.03,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Hedera",0.75,0.05,NA,13.5,18.5,26.6,26.1,28,1.249376273,1.193,0.130405652,0.126755099,11.27250711,10.98606811,0.184269461,0.18,43.8855,44.0015,27.16444993,26.68555417,2.318571429,2.62
"71","Helicia",0.79,0.13,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Heliocarpus",1.31,0.05,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Heteropterys",0.32,0.01,NA,NA,NA,NA,70.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Hevea",2.1,NA,49.6,NA,NA,27.2,NA,29,2.150251826,2.158563377,0.108829887,0.088721903,29.29168565,22.88659828,0.146933458,0.140315998,51.50118287,51.50719238,22.83168135,22.62330866,1.176163139,1.085402363
"75","Hura",1.4,0.2,NA,NA,NA,NA,13.5,30,3.177162832,3.292996167,0.37,0.37,8.378378378,8.378378378,0.209756292,0.2125,43.59725682,44.5689373,17.61735965,18.26994076,1.201541909,1.188305945
"76","Ilex",NA,NA,NA,12.8,21.8,70.2,17.6,31,1.473837717,1.461377102,0.105060956,0.10602509,21.03562247,21.0248201,0.269382813,0.267550347,47.7675507,47.52744782,39.92150402,37.84121308,0.897597315,0.880261109
"77","Indocalamus",1.5,NA,43.7,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Inga",1.8,NA,NA,45,NA,NA,NA,32,2.948849169,2.956085804,0.118312249,0.116732876,32.27101471,30.96225022,0.200894014,0.199396245,48.83108538,48.92085852,16.84405047,16.73952593,0.740463321,0.732729487
"79","Juglans",2.5,0.3,45.4,25.2,NA,21,19,33,2.557002774,2.562734226,0.26601725,0.273512119,11.25239436,9.985106076,0.157181806,0.156146648,46.17431022,46.26484789,35.66513799,33.40606585,2.31,2.22
