Citation,Sci_name,Genus,Species,Family,Stream_name,perC,perN,perP,CtoN,CtoP,NtoP,How_ratios_were_determined,perLignin,perCellulose
Rosemond et al. 2009 Oikos,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,C53,,,,64,,,Reported,,
Rosemond et al. 2009 Oikos,Rhododendron maximum,Rhododendron,,Ericaceae,C53,,,,144.8,,,Reported,,
Rosset et al int rev ges hydrobiol 1982,Quercus petraea,Quercus,,Fagaceae,Lutzel,,0.9,,,,,,18.7,18.9
Rosset et al int rev ges hydrobiol 1982,Larix decidua,Larix,,Pinaceae,Lutzel,,0.8,,,,,,26.2,18.2
Rosset et al int rev ges hydrobiol 1982,Picea abies,Picea,,Pinaceae,Lutzel,,1.1,,,,,,23.3,21.8
Royer & Minshall 1997,Populus tremuloides,Populus,,Salicaceae,Middle Snake River,,,,50,,,Reported,,
Royer & Minshall 2001 Freshwater Biology,Betula occidentalis,Betula,,Betulaceae,SnakeRiver,48.8,0.9,,61.8,,,Calculated,39.8,
Royer & Minshall 2001 Freshwater Biology,Cornus sericea,Cornus,,Cornaceae,SnakeRiver,42.3,0.7,,65,,,Calculated,16.3,
Royer & Minshall 2001 Freshwater Biology,Populus tremuloides,Populus,,Salicaceae,SnakeRiver,52,0.7,,80,,,Calculated,32.7,
Royer et al. 1999 Hydrobiologia,Cornus sericea,Cornus,,Cornaceae,Mink Creek,41,1,,41,,,Calculated,,
Royer et al. 1999 Hydrobiologia,Populus tremuloides,Populus,,Salicaceae,Mink Creek,48,0.8,,60,,,Calculated,,
Royer et al. 1999 Hydrobiologia,Populus balsamifera ssp. trichocarpa,Populus,,Salicaceae,Big Wood River,50.4,0.7,,72,,,Calculated,,
Royer et al. 1999 Hydrobiologia,Elaeagnus angustifolia,Elaeagnus,,Elaeagnaceae,Big Wood River,44.6,1.7,,27,,,Calculated,,
Sampaio et al. 2001 IRH,Alnus glutinosa,Alnus,,Betulaceae,Olo River tributary,,3,0.2,,,41.5,Calculated,,
Sampaio et al. 2001 IRH,Quercus robur,Quercus,,Fagaceae,Olo River tributary,,0.7,0.1,,,31.4,Calculated,,
Sampaio et al. 2001 IRH,Eucalyptus globulus,Eucalyptus,,Myrtaceae,Olo River tributary,,1,0.1,,,24.4,Calculated,,
Sanpera_Calbet et al 2009 FW Biology,Fagus sylvatica,Fagus,,Fagaceae,Peyreblanque,47.3,1.2,,80,,,Calculated,,
Sanpera_Calbet et al 2009 FW Biology,Corylus avellana,Corylus,,Betulaceae,Peyreblanque,45.9,1.7,,81,,,Calculated,,
Sanpera_Calbet et al 2009 FW Biology,Fraxinus excelsior,Fraxinus,,Oleaceae,Peyreblanque,43.2,1.8,,82,,,Calculated,,
Schindler and Gessner 2009 Ecology,Ulmus glabra,Ulmus,,Ulmaceae,Steina,,1.1,0.2,,,11,Calculated,11.1,
Schindler and Gessner 2009 Ecology,Fraxinus excelsior,Fraxinus,,Oleaceae,Steina,,0.7,0.1,,,17.8,Calculated,13.8,
Schindler and Gessner 2009 Ecology,Alnus glutinosa,Alnus,,Betulaceae,Steina,,1.9,0.1,,,67.2,Calculated,18.9,
Schindler and Gessner 2009 Ecology,Acer pseudoplatanus,Acer,,Sapindaceae,Steina,,1.1,0.1,,,21.5,Calculated,14.3,
Schindler and Gessner 2009 Ecology,Salix cinerea,Salix,,Salicaceae,Steina,,1.3,0.1,,,25.9,Calculated,19.7,
Schindler and Gessner 2009 Ecology,Corylus avellana,Corylus,,Betulaceae,Steina,,1.1,0.2,,,16.1,Calculated,22.9,
Schindler and Gessner 2009 Ecology,Platanus sp.,Platanus,,Platanaceae,Steina,,0.8,0.1,,,20.6,Calculated,34.4,
Schindler and Gessner 2009 Ecology,Quercus robur,Quercus,,Fagaceae,Steina,,0.4,0.1,,,16.5,Calculated,24,
Schindler and Gessner 2009 Ecology,Fagus sylvatica,Fagus,,Fagaceae,Steina,,1,0.1,,,36.3,Calculated,35.8,
Schwarz and Schwoerbel 1997 Annales de Limnologie,Alnus glutinosa,Alnus,,Betulaceae,Porto River - mountain site,,1.9,0.1,,,56.8,Calculated,,
Schwarz and Schwoerbel 1997 Annales de Limnologie,Quercus ilex,Quercus,,Fagaceae,Porto River - mountain site,,1.3,0.1,,,19.9,Calculated,,
Schwarz and Schwoerbel 1997 Annales de Limnologie,Quercus ilex,Quercus,,Fagaceae,Porto River - mountain site,,0.9,0.1,,,21.8,Calculated,,
Shaftel et al. 2011 JNABS,Calamagrostis canadensis,Calamagrostis,,Poaceae,Stariski (22),,0.4,0.1,,,10.5,Calculated,,
Shieh et al. 2008 Fundamental and Applied Limnology; Shieh et al. 2007 Zoological Studies,Machilus thunbergii,Machilus,,Lauraceae,Hapen Creek,51.8,1.5,0.1,39.8,1937.8,48.7,Calculated,,
Shieh et al. 2008 Fundamental and Applied Limnology; Shieh et al. 2007 Zoological Studies,Schefflera octophylla,Schefflera,,Araliaceae,Hapen Creek,51.4,2.3,0.2,26.4,779.3,29.6,Calculated,,
Shieh et al. 2008 Fundamental and Applied Limnology; Shieh et al. 2007 Zoological Studies,Ficus erecta,Ficus,,Moraceae,Hapen Creek,49.8,2.2,0.1,26.6,1086.4,40.9,Calculated,,
Sridhar et al 2000 Arch Hydro,Fontinalis antipyretica,Fontinalis,,Fontinalaceae,Allen Creek,,,,,,,,,
Stallcup et al 2006 Freshwater Biology,Ficus insipida,Ficus,,Moraceae,Saltito,37.6,1.4,0.1,31.3,1171.7,37.4,Calculated,,
Stallcup et al 2006 Freshwater Biology,Trema integerrima,Trema,,Ulmaceae,Saltito,36.5,1.5,0.1,27.8,915.5,32.9,Calculated,,
Stallcup et al. 2006 Freshwater Biology,Trema integerrima,Trema,,Ulmaceae,Saltito,36,1.4,0.1,30,1162.5,38.8,Calculated,,
Stallcup et al. 2006 Freshwater Biology,Ficus insipida,Ficus,,Moraceae,Saltito,37,1.5,0.1,28.8,955.8,33.2,Calculated,,
Stewart 1992 Arch Hydro,Cunonia capensis,Cunonia,,Cunoniaceae,Window,,,,36.9,,,Reported,,
Stewart 1992 Arch Hydro,Ilex mitis,Ilex,,Aquifoliaceae,Window,,,,27.7,,,Reported,,
Stewart 1992 Arch Hydro,Rhoicissus tomentosa,Rhoicissus,,Vitaceae,Window,,,,20,,,Reported,,
Suberkropp 1995 Can J. of Bot,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Schultz,,0.7,,,,,,,
Suberkropp et al 2001 Applied and Env. Microbiology,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Walker Branch,,0.9,,,,,,,
Suberkropp et al 2001 Applied and Env. Microbiology,Quercus alba,Quercus,,Fagaceae,Walker Branch,,0.8,,,,,,,
"Suberkropp et al. 1976 Ecology, Suberkropp and Klug 1976 Ecology",Quercus alba,Quercus,,Fagaceae,Augusta Creek,,0.7,,,,,,12.2,18.4
"Suberkropp et al. 1976 Ecology, Suberkropp and Klug 1976 Ecology",Carya glabra,Carya,,Juglandaceae,Augusta Creek,,1.5,,,,,,10,15.1
Swan et al 2009 Ecology,Liriodendron tulipifera,Liriodendron,,Magnoliaceae,Unamed ,,0.8,0,,,42.6,Calculated,19,22
Swan et al 2009 Ecology,Fraxinus pennsylvanica,Fraxinus,,Oleaceae,Unamed ,,0.9,0.1,,,25.2,Calculated,15,26
Swan et al 2009 Ecology,Fagus grandifolia,Fagus,,Fagaceae,Unamed ,,0.9,0.1,,,38.5,Calculated,9,54
Swan et al 2009 Ecology,Quercus prinus,Quercus,,Fagaceae,Unamed ,,0.8,0,,,55.4,Calculated,25,25
Trofymow et al 1995,Alnus rugosa,Alnus,,,,48.1,2.5,0.2,22.2,827.9,37.3,Calculated,19.8,
Trofymow et al 1995,Betula papyrifera,Betula,,,,48,0.7,0,77.8,3263.2,42,Calculated,24,
Tuchman and King 1993 Hydrobiologia,Quercus alba,Quercus,,Fagaceae,Chippewa River site 1,47,0.7,,75.8,,,Calculated,,
Walpola et a. 2011 International Rev Hydrobiol,Ochlandra stridula,Ochlandra,,Poaceae,Eswathu Oya,37.9,1.1,,39.1,,,Calculated,,
Walpola et a. 2011 International Rev Hydrobiol,Alstonia macrophylla,Alstonia,,Apocynaceae,Eswathu Oya,47.9,1.5,,36.5,,,Calculated,,
Walpola et a. 2011 International Rev Hydrobiol,Hevea brasiliensis,Hevea,,Euphorbiaceae,Eswathu Oya,49.6,2.1,,27.2,,,Calculated,,
Webster & Waide 1982,Cornus florida,Cornus,,Cornaceae,Big Hurrican Branch,,1.6,,,,,,8,
Webster & Waide 1982,Quercus alba,Quercus,,Fagaceae,Big Hurrican Branch,,1.4,,,,,,13.8,
Webster & Waide 1982,Rhododendron maximum,Rhododendron,,Ericaceae,Big Hurrican Branch,,0.8,,,,,,7.6,
Young et al. 1994 Freshwater Biology,Chionochloa rigida,Chionochloa,,Poaceae,Burgan,,0.3,0,,,18.7,Calculated,,
